"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g01812-T",92,69,68,83,83,132,33,49,47,17,60,19,11,15
"Afu1g01820-T",0,1,0,0,0,0,1,1,1,0,2,1,0,0
"Afu1g01830-T",29,8,5,14,7,8,3,2,7,9,20,19,14,11
"Afu1g01850-T",43,32,24,67,66,49,41,59,67,55,65,46,31,21
"Afu1g01860-T",32,14,30,31,21,59,17,34,33,38,33,6,3,6
"Afu1g01870-T",226,80,168,153,84,204,57,115,100,83,119,142,108,90
"Afu1g01890-T",17,5,9,9,12,17,3,6,13,2,7,1,7,2
"Afu1g01900-T",25,4,16,4,5,20,1,3,6,5,7,24,15,7
"Afu1g01910-T",95,24,57,50,34,81,18,31,37,38,59,36,36,33
"Afu1g01920-T",1,2,3,1,2,7,0,0,1,0,1,2,3,1
"Afu1g01930-T",6,0,1,1,0,2,1,0,1,6,2,0,1,1
"Afu1g01940-T",193,119,132,174,132,222,131,138,204,108,120,107,96,67
"Afu1g01950-T",12,4,11,12,7,15,3,15,8,18,33,22,12,18
"Afu1g01960-T",21,8,24,13,14,25,55,119,98,33,66,38,29,21
"Afu1g01970-T",161,73,121,100,77,199,40,60,64,74,112,57,55,55
"Afu1g01980-T",3,3,3,2,0,0,0,1,0,2,0,1,4,2
"Afu1g01990-T",4,5,3,7,1,7,6,27,17,63,52,32,8,39
"Afu1g02000-T",2,1,6,3,0,3,0,2,0,0,0,3,2,2
"Afu1g02010-T",377,168,228,253,137,321,88,217,189,156,275,218,145,177
"Afu1g02020-T",80,64,48,95,61,100,24,39,50,30,60,20,11,23
